original,normalized,website
PADWICKS TRAVEL WEMBLEY LIMITED,Padwicks Travel,
PANTHER HINCKLEY VAT LIMITED,Panther Hinckley VAT Ltd.,
PANTHER SECURITIES PLC,Panther Securities PLC,
PARAGON CUSTOMER COMMUNICATIONS LON,Paragon Customer Communications,
PARAGON GROUP LIMITED,Paragon Group Ltd.,
PARESHKUMAR RAOJIBHAI PATEL,Pareshkumar Raoji Bhai Patel,
PARFUMS CHANEL LIMITED,Chanel Ltd.,chanel.com
PARFUMS CHRISTIAN DIOR,Parfums Christian Dior,dior.com
PARK CARD MARKETING SERVICES LIMITE,Park Card Marketing Services Ltd.,
PARK GREEN LIMITED,Park Green Ltd.,
PARK LANE COMMERCIAL PROPERTY LIMIT,Park Lane Commercial Property Ltd.,
PARK MEDICAL SERVICES LIMITED,Park Medical Services Ltd.,
PARKES AND PEARN SW LIMITED,Parkes and Pearn Sw Ltd.,
PARKHALL ESTATES,Parkhall Estates,
PARKLIGHT PROPERTIES LIMITED,Parklight Properties,
PARMELIA INVESTMENTS LIMITED,Shalimar Investments Ltd.,
PARR FACILITIES MANAGEMENT LIMITED,Prime Facilities Management Ltd.,
PARTNERS 4 LIFT F4 LIMITED,Partners 4 Lift Fundco Ltd.,
PARTNERS 4 LIFT FUNDCO2 LIMITED,Partners 4 Lift Fundco Ltd.,
PASSKEY PROPERTIES LIMITED,Rae Properties Ltd.,
PASTEWAY LIMITED,Pasteway Ltd.,
PATRICK NIALL AND BRIAN KEARNEY,Patrick Niall & Brian Kearney,
PAUL J CARTER,Paul J Carter,
PAUL WALLACE PROFESSIONAL,Paul Wallace Professional,
PAUL WATSON,Paul Watson,
PAULINE KHOSHTAGHAZA,Pauline Khoshtaghaza,
PBG HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
PCB TECHNICAL SOLUTIONS LIMITED,Pcb Technical Solutions,
PDB INVESTMENTS LIMITED,Aon Investments Ltd.,aon.com
PEACOCKS CENTRE,Peacocks Centre,
PEARL & COUTTS LIMITED,Pearl & Coutts Ltd.,
PEBWORTH PROPERTY MANAGEMENT,Portland Property Management,
PEEL LAND AND PROPERTY INVESTMENTS,Peel Land & Property Investments,
PEELCLOSE PROPERTIES LIMITED,Peelclose Properties Ltd.,
PEILL AND COMPANY LIMITED,Peill & Co. Ltd.,
PELHAM ASSOCIATES,Pelham Associates,
PEMBROKESHIRE COUNTY COUNCIL,Pembrokeshire County Council,pembrokeshire.gov.uk
PENTLAND CAVE LIMITED,Pentland Cave Ltd.,
PEPPERCORN INVESTMENTS LIMITED,Peppercorn Investments Ltd.,
PEREGRINE DEVELOPMENTS GUERNSEY LIM,Peregrine Developments,
PERGOLA LIMITED,Pergola Ltd.,
PERSONNEL HYGIENE SERVICES LIMITED,Personnel Hygiene Services Ltd.,
PERTEMPS RECRUITMENT PARTNERSHIP LI,Pertemps Recruitment Partnership,pertemps.co.uk
PERTEMPS RECRUITMENT PARTNERSHIP LTD,Pertemps Recruitment Partnership,pertemps.co.uk
PERTH AND KINROSS COUNCIL,Perth & Kinross Council,pkc.gov.uk
PETER BURNS,Peter Burns,
PETER COLBY COMMERCIALS LIMITED,Peter Colby Commercials Ltd.,
PETERBOROUGH CITY COUNCIL,Peterborough City Council,peterborough.gov.uk
PHANTOM PROPERTY PORTFOLIO LIMITED,Sj Property Portfolio Ltd.,
PHARM ASSIST,Pharmassist,
PHARMACEUTICAL SOCIETY OF NORTHERN,Pharmaceutical Society of Northern,
PHARMACONEX LIMITED,Pharmaconex Ltd.,
PHARMACONEX LTD,Pharmaconex Ltd.,
PHARMAKEY PERSONNEL LTD,Pharmakey Personnel Ltd.,
PHARMASEEKERS LTD,Pharmaseekers Ltd.,
PHILIP FISHER LLP,Philip Fisher LLP,
PHILIP KINGSLEY PRODUCTS LIMITED,Philip Kingsley Products Ltd.,philipkingsley.com
PHILIP PARKER DAVIES & ANGELA MARGA,Philip Parker Davies & Angela Marga,
PHIP 5 LIMITED,Phip 5 Ltd.,
PHOENIX HEALTHCARE DISTRIBUTION LIM,Phoenix Healthcare Distribution Ltd.,
PHOENIX NATURAL GAS LIMITED,Phoenix Natural Gas Ltd.,
PHOTON INTERACTIVE UK LIMITED,Photon Interactive Ltd.,
PHP INVESTMENTS NO2 LIMITED,PHP Investments Ltd.,
PHP IPSWICH LIMITED,PHP Ipswich Ltd.,
PHP MEDICAL INVESTMENTS LIMITED,PHP Medical Investments Ltd.,
PHP PRIMARY PROPERTIES HAYMARKET LI,PHP Primary Properties,
PHP PRIMARY PROPERTIES LIMITED,PHP Primary Properties Ltd.,
PHS COMPLIANCE LIMITED,Phs Compliance Ltd.,phsgroup.co.uk
PHS GROUP PLC,Phs Compliance Ltd.,phsgroup.co.uk
PHYLUMA LIMITED,Phyluma Ltd.,
PICKERINGS EUROPE LIMITED,Pickerings Europe Ltd.,
PICKWICK HOLDINGS LIMITED,Pickwick Holdings Ltd.,
PINE RIDGE ESTATES LIMITED,Pine Ridge Estates,
PINNACLE EXECUTIVE CARS LIMITED,Pinnacle Executive Cars,
PIXEL INSPIRATION HOLDINGS LIMITED,Pixel Inspiration Holdings,
PJ FOX PROPERTIES,Pj Fox Properties,
PKC HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
PLACES FOR LONDON LIMITED,Places for London,
PLURALSIGHT LLC,Pluralsight,pluralsight.com
PLUXEE UK LIMITED,Pluxee UK Ltd.,pluxee.com
PLYMOUTH CITY COUNCIL,Plymouth City Council,plymouth.gov.uk
PLYMPTON HEALTH CENTRE,Plympton Health Centre,
PMC CONSTRUCTION AND DEVELOPMENT,Pmc Construction & Development,
PMLC LIMITED,Pmlc Ltd.,
POLLARD BENNETT LIMITED,Pollard Bennett Ltd.,
POOL HEALTH CENTRE,Pool Health Centre,
POONAM AND ROSHNI LIMITED,Poonam & Roshni Ltd.,
POPSON HEALTHCARE LIMITED,Popson Healthcare Ltd.,
PORTLAND COMMERCIAL LETTINGS LIMITE,Portland Commercial Lettings Ltd.,
PORTLAND PROPERTY MANAGEMENT,Portland Property Management,
PORTMAN AIR CONDITIONING LIMITED,Portman Air Conditioning,
PORTSMOUTH CITY COUNCIL,Plymouth City Council,plymouth.gov.uk
POSTURITE LIMITED,Posturite Ltd.,
POVEY CONSULTANTS LIMITED,Povey Consultants Ltd.,
POVEY PROPERTIES LIMITED,Edgley Properties Ltd.,
POWYS COUNTY COUNCIL,Powys County Council,powys.gov.uk
PPR OXTED LIMITED,Ppr Oxted Ltd.,
PRAXIS REAL ESTATE MANAGEMENT LIMIT,Praxis Real Estate Management,
PRECISELY SOFTWARE LIMITED,Precisely Software Ltd.,precisely.com
PREFERRED LOCUMS LIMITED,Preferred Locums Ltd.,
PREMIER UK EVENTS LIMITED,Premier UK Events,
PRESSHOUSE LIMITED,Presshouse Ltd.,
PRESTON CITY COUNCIL,Bristol City Council,bristol.gov.uk
PRGX,Prgx Global Inc.,prgx.com
PRGX UK LIMITED,Prgx Global Inc.,prgx.com
PRICEWATERHOUSECOOPERS LLP,Pricewaterhousecoopers LLP,pwc.com
PRIMAK PROPERTIES,Primak Properties,
PRIMARY HEALTH INVESTMENT,Primary Health Investment,
PRIMARY HEALTH PROPERTIES PLC,Primary Health Properties,primaryhealthproperties.com
PRIMARY MEDICAL PROPERTY INVESTMENT,Primary Medical Property Investment,
PRIME ANALYSIS UK LIMITED,Prime Analysis UK Ltd.,
PRIME FACILITIES MANAGEMENT LIMITED,Prime Facilities Management Ltd.,
PRIME PROPERTY INVESTORS LIMITED,Prime Property Investors Ltd.,
PRIMEHELM LIMITED,Primehelm Ltd.,
PRIMELINE LOGISTICS UNLIMITED COMPA,Primeline Logistics Unlimited Co.,
PRIMELINE UC,Primeline Uc,
PROCEED DATA MANAGEMENT LIMITED,Proceed Data Management Ltd.,
PRODERM GMBH,Proderm Gmbh,
PROF E J BURGE & E G BURGE,Prof E. j. Burge & E. g.,
PROFILES CREATIVE LIMITED,Profiles Creative Ltd.,
PROJECT GOSFORTH LIMITED,Project Gosforth Ltd.,
PROOFID LIMITED,Proofid Ltd.,proofid.com
PROPERTY MANAGEMENT PORTFOLIO LIMIT,Property Management Portfolio Ltd.,
PROPERTY PARTNERS MANAGEMENT LIMITE,Property Partners Management Ltd.,
PROPERTY PARTNERSHIPS ISLE OF MAN,Property Partnerships,
PROPSTONE MANAGEMENT LIMITED,Propstone Management Ltd.,
PRX HEALTH LIMITED,Prx Health Ltd.,
PS AND HK PROPERTIES LIMITED,Manica Properties Ltd.,
PS AND SK KHANDPUR LIMITED,Ps & Sk Khandpur Ltd.,
PURE4 RECRUITMENT LIMITED,Pure4 Recruitment Ltd.,
Q HAFEEZ & N HAFEEZ,Hafeez,
Q5 PARTNERS LLP,Q5 Partners LLP,
QA LIMITED,Tqsa Ltd.,
QI STATISTICS LIMITED,Qi Statistics Ltd.,
QNOMY UK LIMITED,Qnomy UK Ltd.,qnomy.com
QUADPACK UK LIMITED,Quadpack Ltd.,
QUAGMIRE PROPERTY HOLDINGS,Quagmire Property Holdings,
QUALTRICS,Qualtrics,qualtrics.com
QUALVIS PRINT AND PACKAGING LIMITED,Qualvis Print & Packaging Ltd.,
QUEENSBURY INVESTMENTS LIMITED,Queensbury Investments Ltd.,
QUEST CAPITAL TRUSTEES LIMITED,Quest Capital Trustees Ltd.,
QUEST RETIREMENT SOLUTIONS LIMITED,Quest Retirement Solutions,
QUINN GLAZING,Quinn Glazing,
R A WILSONS LIMITED,R a Wilsons Ltd.,
R AND H PROPERTY ENTERPRISES LIMITE,R & H Property Enterprises Ltd.,
R DESIGN LIMITED,R Design Ltd.,
R G ELMS AND SONS LIMITED,R G Elms & Sons Ltd.,
R J HEATHMAN (CONTRACTORS) TRADING AS COUNTY CONTRACTORS,County Contractors,
R STAFFORD CHARLES & SON,R Stafford Charles & Son,
R SWAIN AND SONS LIMITED,R Swain & Sons Ltd.,
RA JACKSON AND SON LLP,R. a. Jackson & Son LLP,
RADIUS BUSINESS SOLUTIONS IRELAND,Radius Business Solutions,
RAE PROPERTIES LIMITED,Rae Properties Ltd.,
RAGSAN UK LIMITED,Ragsan UK Ltd.,
RAHIL SAGGAR GROUP LIMITED,Rahil Saggar Group Ltd.,
RAJAS ASSETS 2 LIMITED,Rajas Assets Ltd.,
RANA HOMES SUMMERTOWN LIMITED,Rana Homes,
RATCLIFFES,Ratcliffe's,
RATCLIFFES CHARTERED SURVEYORS,Ratcliffes Chartered Surveyors,
RATE COLLECTION AGENCY,Rate Collection Agency,
RAVEN AND MATTERHORN PROPERTIES NO5,Raven & Matterhorn Properties,
RAVENSFORD ESTATES LIMITED,Ravensford Estates Ltd.,
RBS,Rbs,
RE INTERNAL PROVISIONS,Re Internal Provisions,
RE QUINN ARCHITECTS LIMITED,Re Quinn Architects Ltd.,
RE VOLVE PROPERTY SERVICES LIMITED,Monarch Property Services,nhspropertyservices.co.uk
REACHPRIME LIMITED,Reachprime Ltd.,
READ GROUP,Read Group,
READING BOROUGH COUNCIL,Reading Borough Council,reading.gov.uk
READING SCIENTIFIC SERVICES LIMITED,Reading Scientific Services Ltd.,
REALITY ROCK LIMITED,Reality Rock Ltd.,
REDAN PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
REDCAR AND CLEVELAND BOROUGH COUNCI,Redcar and Cleveland Borough Council,redcar-cleveland.gov.uk
REDCENTRIC SOLUTIONS LIMITED,Redcentric Solutions Ltd.,redcentricplc.com
REDDITCH BOROUGH COUNCIL,Reading Borough Council,reading.gov.uk
REED SPECIALIST RECRUITMENT LTD (PE,Reed Specialist Recruitment Ltd.,reedglobal.com
REFLEX LABELS LIMITED,Reflex Labels Ltd.,
REIGATE AND BANSTEAD BOROUGH COUNCI,Reigate & Banstead Borough Council,reigate-banstead.gov.uk
REITH LAMBERT LIMITED,Reith Lambert Ltd.,
RELATECH SRL,Relatech S. r. l.,
RENFREWSHIRE COUNCIL,Renfrewshire Council,renfrewshire.gov.uk
RENTOKIL INITIAL UK LIMITED,Rentokil Initial,rentokil-initial.com
RETAIL AND ASSET SOLUTIONS LIMITED,Retail & Asset Solutions Ltd.,
RETAIL IRELAND SKILLNET,Retail Ireland Skillnet,
RETAIL MERCHANDISING SERVICES LIMIT,Retail Merchandising Services Ltd.,
RETAIL UTILITIES SOLUTIONS LIMITED,Retail Utilities Solutions Ltd.,
RETHINK DIGITAL GURUS LIMITED,Rethink Digital Gurus Ltd.,
RETHINK PROFESSIONAL SERVICES,Rethink Professional Services Ltd.,
RETHINK PROFESSIONAL SERVICES LIMIT,Rethink Professional Services Ltd.,
REVIEVE OY,Revieve Oy,revieve.com
RGB VENTURES LIMITED,Rgb Ventures Ltd.,
RGD INVESTMENTS UK LIMITED,Rgd Investments UK Ltd.,
RHIANNON PRICE,Rhiannon Price,
RHONDDA BOROUGH COUNCIL,Rhondda Borough Council,rhonddacynontaf.gov.uk
RI CROWN CMC LIMITED,Ri Crown Cmc Ltd.,
RIBBLE PACKAGING LIMITED,Ribble Packaging Ltd.,
RIBBLE PACKAGING LTD,Ribble Packaging Ltd.,
RIBBLE VALLEY BOROUGH COUNCIL,Amber Valley Borough Council,testvalley.gov.uk
RICHARD AR MARTIN AND ROSARIA SR MA,Richard a Martin and Rosaria,
RICHARD SMITH AND COLUM SMITH,Richard Smith & Colum Smith,
RICHMONDSHIRE DISTRICT COUNCIL,Richmondshire District Council,richmondshire.gov.uk
RICHRELEVANCE INC,Richrelevance Inc.,richrelevance.com
RICHROCH INVESTMENTS LIMITED,Richroch Investments Ltd.,
RICOH UK LIMITED,Sinch UK Ltd.,sinch.com
RIDDELL THOMS & COMPANY LLP,Riddell Thoms & Co. LLP,
RIDER LEVETT BUCKNALL UK LIMITED,Rider Levett Bucknall,rlb.com
RIDGE AND PARTNERS LLP,Ridge & Partners LLP,
RIFCO PROPERTIES LIMITED,Hiroko Properties Ltd.,
RIGHT MANAGEMENT,Right Management,rightmanagement.com
RIGHT MANAGEMENT LIMITED,Right Management,rightmanagement.com
RIGHTACRES PROPERTY CO LIMITED,Rightacres Property Co. Ltd.,
RINEDATA LIMITED,Rinedata Ltd.,
RIPPLE INVESTMENTS LLP,Ripple Investments LLP,
RITHUM CA UK LIMITED,Rithum Ca UK Ltd.,
RIVO SOFTWARE LTD,Rivo Software Ltd.,
RJ AND JD ELEY TAS DELDERFIELDS,Eley Tas Delderfields,
RK DOOR SYSTEMS LIMITED,Rk Door Systems Ltd.,
RMA PROPERTIES  LIMITED,Rae Properties Ltd.,
RNNS PROPERTY GROUP LIMITED,Rnns Property Group,
ROBERT HALF LIMITED,Robert Half Ltd.,roberthalf.com
ROBERT J & KATHLEEN ALEXANDER,Robert J & Kathleen Alexander,
ROBERT STEVEN DANZIG & EVELYN NAOMI,Robert Steven Danzig & Evelyn Naomi,
ROBERT WALTERS,Robert Walters,robertwalters.com
ROBINSONS CHARTERED SURVEYORS,Robinsons Chartered Surveyors,
ROCCO COMMERCIAL LIMITED,Rocco Commercial Ltd.,
ROCHDALE METROPOLITAN BOROUGH COUNC,Dudley Metropolitan Borough Council,dudley.gov.uk
ROCHFORD DISTRICT COUNCIL,Rochford District Council,rochford.gov.uk
ROCKFORD ASSET MANAGEMENT LIMITED,Rockford Asset Management Ltd.,
RODERICK SMITH LIMITED,Roderick Smith Ltd.,
ROMKAR LIMITED,Romkar Ltd.,
ROMULUS WIMBLEDON LIMITED,Romulus Wimbledon Ltd.,
ROOFOODS LIMITED,Roofoods Ltd.,
ROOKMAN PROPERTIES LIMITED,Hiroko Properties Ltd.,
ROOTS RESEARCH LIMITED,Roots Research Ltd.,
ROSSENDALE BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
ROTAN PROPERTY SERVICES LIMITED,Monarch Property Services,nhspropertyservices.co.uk
ROTHER DISTRICT COUNCIL,Dover District Council,dover.gov.uk
ROTHERHAM METROPOLITAN BOROUGH COUN,Rotherham Metropolitan Borough Council,rotherham.gov.uk
ROYAL BOROUGH OF KENSINGTON & CHELS,Royal Borough of Kensington and Chelsea,rbkc.gov.uk
ROYAL BOROUGH OF KINGSTON UPON THAM,Royal Borough of Kingston Upon Thames,kingston.gov.uk
ROYAL BOROUGH OF WINDSOR AND MAIDEN,Royal Borough of Windsor & Maidenhead,windsor.gov.uk
ROYAL DEVON UNIVERSITY HEALTHCARE N,Royal Devon University Healthcare,royaldevon.nhs.uk
ROYAL MAIL,Royal Mail,royalmail.com
ROYAL MAIL GROUP LIMITED,Royal Mail,royalmail.com
ROYAL PHARMACEUTICAL SOCIETY OF GRE,Royal Pharmaceutical Society,rpsgb.org.uk
RSI RETAIL SOLUTIONS LIMITED,Sigma Retail Solutions,
RUART LIMITED,Ruart Ltd.,
RUFIORKA LIMITED,Rufiorka Ltd.,
RUGBY BOROUGH COUNCIL,Corby Borough Council,corby.gov.uk
RUGBY PROPERTY ASSETS LIMITED,Rugby Property Assets Ltd.,
RUNNYMEDE BOROUGH COUNCIL,Runneymede Borough Council,runneymede.gov.uk
RURALPRIDE LIMITED,Rural Pride Ltd.,
RUSHCLIFFE BOROUGH COUNCIL,Rushcliffe Borough Council,rushcliffe.gov.uk
RUSHMOOR BOROUGH COUNCIL,Rushmoor Borough Council,rushmoor.gov.uk
RUSSELLS FARM SERVICES,Russells Farm Services,
RUTH SHARP,Ruth Sharp,
RUTLAND COUNTY COUNCIL,Rutland County Council,rutland.gov.uk
RUTLAND ESTATES LIMITED,Rutland Estates Ltd.,
S AND S KHAIRA LIMITED,S and S Khaira Ltd.,
SA MYNARD LIMITED,Sa Mynard Ltd.,
SAACKE COMBUSTION SERVICES LIMITED,Saacke Combustion Services Ltd.,saacke.com
SABRECORE HOLDINGS LIMITED,Sabrecore Holdings Ltd.,
SACKER & PARTNERS LLP,Sacker & Partners,
SACRISTON SURGERY,Sacriston Surgery,
SAFEGROUP SERVICES LIMITED,Cds Group Services,
SAFETY KLEEN UK LIMITED,Safety Kleen UK Ltd.,safetykleen.com
SAFIELD PROPERTIES LIMITED,Safield Properties Ltd.,
SAGACITY DATA LIMITED,Sagacity Data Ltd.,
SAGACITY SOLUTIONS LIMITED,Sagacity Solutions Ltd.,
SAITH PROPERTIES LIMITED,Hilham Properties Ltd.,
SALECYCLE LIMITED,Salecycle Ltd.,
SALESFORCE UK LIMITED,Salesforce Ltd.,salesforce.com
SALFORD CITY COUNCIL,Salford City Council,salford.gov.uk
SALWAN PROPERTIES LIMITED,Manica Properties Ltd.,
SAMMONS PENSIONS LIMITED,Sammons Pensions Ltd.,
SAMSUNG SDS EUROPE LTD,Samsung Sds Europe Ltd.,samsungsds.com
SANDERSON WEATHERALL LLP,Sanderson Weatherall LLP,sandersonweatherall.com
SANDWELL BOROUGH COUNCIL,Epsom & Ewell Borough Council,epsom-ewell.gov.uk
SAP UK LIMITED,Drp UK Ltd.,sap.com
SARTORIO LIMITED,Sartorio Ltd.,
SAVILLS COMMERCIAL IRELAND LIMITED,Savills Commercial Ireland,savills.ie
SAVILLS MANAGEMENT CLIENT ACC,Savills Management Client,
SAVILLS NI LIMITED,Savills UK Ltd.,savills.co.uk
SAVILLS UK LIMITED,Savills UK Ltd.,savills.co.uk
SAVUTI PROPERTY COMPANY LIMITED,Savuti Property Co. Ltd.,
SBR TRADING LIMITED,Sbr Trading Ltd.,
SCARBOROUGH BOROUGH COUNCIL,Slough Borough Council,slough.gov.uk
SCHNEIDER ELECTRIC LIMITED,Schneider Electric Ltd.,se.com
SCHNEIDER ELECTRIC SYSTEMS UK LIMIT,Schneider Electric Ltd.,se.com
SCHNITTGER BOURNE PROPERTY SERVICES,Schnittger Bourne Property Services,
SCHOELLER ALLIBERT LIMITED,Schoeller Allibert Ltd.,schoellerallibert.com
SCOPE OPHTHALMICS LIMITED,Scope Ophthalmics Ltd.,
SCOTTISH BORDERS COUNCIL,Scottish Borders Council,scotborders.gov.uk
SCOTTISH WATER BUSINESS STREAM LIMI,Scottish Water Business Stream Ltd.,scottishwater.co.uk
SCOTTS PROPERTY,Scotts Property,
SCREENCANCER UK LIMITED,Screencancer UK Ltd.,
SDI DISPLAYS LIMITED,Sdi Displays Ltd.,
SE CAPITAL LIMITED,Se Capital Ltd.,
SEAMAP LIMITED,Amas Ltd.,
SECOM PLC,Secom PLC,secom.co.uk
SEDGEMOOR DISTRICT COUNCIL,Sedgemoor District Council,sedgemoor.gov.uk
SEFTON COUNCIL,Sefton Council,sefton.gov.uk
SEJ COMMERCIAL LIMITED,Sej Commercial Ltd.,
SELBY DISTRICT COUNCIL,Shepway District Council,shepway.gov.uk
SENTAL RECRUITMENT LTD,Sental Recruitment,
SERVICE MANAGEMENT GROUP,Service Management Group,
SERVICECHANNEL COM INC,Servicechannel Inc.,servicechannel.com
"SERVICECHANNEL.COM, INC.",Servicechannel Inc.,servicechannel.com
SETBRAY PROPERTIES LIMITED,Rae Properties Ltd.,
SEVENOAKS DISTRICT COUNCIL,Sevenoaks District Council,sevenoaks.gov.uk
SEVERNSOFT LIMITED,Severnsoft Ltd.,
SEVRING ONE LIMITED,Sevring One Ltd.,
SGS STEPHENS INC,Sgs Stephens Inc.,
SHALIMAR INVESTMENTS LIMITED,Shalimar Investments Ltd.,
SHALLOWDALE LIMITED,Shallowdale Ltd.,
SHARP END PARTNERSHIP LIMITED,Sharp End Partnership Ltd.,
SHEET ANCHOR EVOLVE LIMITED,Sheet Anchor Evolve Ltd.,
SHEET ANCHOR EVOLVE LONDON LIMITED,Sheet Anchor Evolve Ltd.,
SHEET ANCHOR INVESTMENTS 2 LIMITED,Sheet Anchor Investments Ltd.,
SHEET ANCHOR INVESTMENTS LIMITED,Sheet Anchor Investments Ltd.,
SHEET ANCHOR PROPERTY INVESTMENTS 2,Sheet Anchor Property Investments,
SHEET ANCHOR RETAIL INVESTMENTS LIM,Sheet Anchor Retail Investments Ltd.,
SHEFFIELD CITY COUNCIL,Sheffield City Council,sheffield.gov.uk
SHELDON CHAMBERS LIMITED,Sheldon Chambers Ltd.,
SHELL UK OIL PRODUCTS LIMITED,Shell UK Oil Products Ltd.,shell.com
SHEPHERD CHARTERED SURVEYORS,J & E Shepherd Chartered Surveyor,
SHEPHERD PROPERTY CONSULTANTS LIMIT,Shepherd Property Consultants Ltd.,
SHEPWAY DISTRICT COUNCIL,Shepway District Council,shepway.gov.uk
SHERIF EL TAWIL LIMITED,Sherif El Tawil Ltd.,
SHETH PROPERTY HUB LIMITED,Sheth Property Hub Ltd.,
SHIELD ENVIRONMENTAL SERVICES LIMIT,Shield Environmental Services,
SHINEWAY LIMITED,Shineway Ltd.,
SHISEIDO UK COMPANY LIMITED,Shiseido UK Co. Ltd.,shiseido.com
SHISEIDO UK LIMITED,Shiseido UK Co. Ltd.,shiseido.com
SHOOSMITHS,Shoosmiths LLP,shoosmiths.co.uk
SHOOSMITHS LLP,Shoosmiths LLP,shoosmiths.co.uk
SHROPSHIRE COUNCIL,Shropshire Council,shropshire.gov.uk
SIBLEY PARES LLP,Sibley Pares LLP,
SIDAN INVESTMENT PROPERTY LIMITED,Sidan Investment Property Ltd.,
SIEMENS ENERGY INDUSTRIAL TURBOMACH,Siemens Energy Industrial Turbomach,siemens-energy.com
SIEMENS INDUSTRIAL TURBOMACHINERY L,Siemens Industrial Turbomachinery,siemens.com
SIGMA RETAIL SOLUTIONS LIMITED,Sigma Retail Solutions,
SIGN SPECIALISTS LIMITED,Sign Specialists Ltd.,
SIGNODE UK LIMITED,Hind UK Ltd.,signode.com
SILGAN DISPENSING SYSTEMS LE TREPOR,Silgan Dispensing Systems,silgancontainers.com
SILVERCROWN PROPERTIES LIMITED,Silvercrown Properties Ltd.,
SIMILARWEB UK LTD,Similarweb UK Ltd.,similarweb.com
SIMON ARTHUR PASS,Simon Arthur Pass,
SIMON MUSTO PARKS AND PROPERTIES,Simon Musto Parks & Properties,
SINCH UK LIMITED,Sinch UK Ltd.,sinch.com
SINGLETON ESTATES LIMITED,Appleton Estates Ltd.,
SIPPDEAL TRUSTEES LIMITED,Sippdeal Trustees Ltd.,
SISU JAMES LIMITED,Sisu James Ltd.,
SJ PROPERTY PORTFOLIO LIMITED,Sj Property Portfolio Ltd.,
SKILLS MOTOR COACHES LIMITED,Skills Motor Coaches Ltd.,
SLOUGH BOROUGH COUNCIL,Slough Borough Council,slough.gov.uk
SMART CO CONSULTING,Smart Co.,
SMART CO CONSULTING LIMITED,Smart Co.,
SMARTCO CONSULTING,Smart Co.,
SMARTLY IO SOLUTIONS,Smartly Io Solutions,
SMG,Smg,
SMITH & SONS PROPERTY CONSULTANTS,Smith Nicholas Property Consultants,
SMITH NICHOLAS PROPERTY CONSULTANTS,Smith Nicholas Property Consultants,
SMITH PRICE RRG LLP,Smith Price Rrg LLP,
SMURFIT KAPPA LIMITED,Smurfit Kappa Ltd.,smurfitkappa.com
SMURFIT KAPPA RECYCLING T/N OF SMUR,Smurfit Kappa Ltd.,smurfitkappa.com
SNAPES DEVELOPMENTS LIMITED,Vanfame Developments Ltd.,
SNP UK,Snp,
SOCIALEDGE INC,Socialedge Inc.,
SOFTCAT PLC,Softcat PLC,softcat.com
SOLID STATE TECHNOLOGIES LIMITED,Solid State Technologies Ltd.,
SOLIHULL METROPOLITAN BOROUGH COUNC,Walsall Metropolitan Borough Council,walsall.gov.uk
SOLOS CONSULTANTS LTD,Solos Consultants,
SOMERSET COUNCIL,Dorset Council,dorsetforyou.gov.uk
SOMERSET WEST AND TAUNTON COUNCIL,Somerset West & Taunton Council,somersetwestandtaunton.gov.uk
SOP HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
SORBON ESTATES LIMITED,Sorbon Estates Ltd.,
SOUL SOFTWARE SRL,Soul Software,
SOURCE BIOSCIENCE,Source Bioscience,sourcebioscience.com
SOUTH AYRSHIRE COUNCIL,South Lanarkshire Council,southlanarkshire.gov.uk
SOUTH CAMBRIDGESHIRE DISTRICT COUNC,South Cambridgeshire District Council,eastcambs.gov.uk
SOUTH DERBYSHIRE DISTRICT COUNCIL,South Derbyshire District Council,southderbyshire.gov.uk
SOUTH GLOUCESTERSHIRE COUNCIL,South Gloucestershire Council,southglos.gov.uk
SOUTH HAMS DISTRICT COUNCIL,South Hams District Council,southhams.gov.uk
SOUTH HOLLAND DISTRICT COUNCIL,South Hams District Council,southhams.gov.uk
SOUTH KESTEVEN DISTRICT COUNCIL,North Kesteven District Council,northkesteven.gov.uk
SOUTH LANARKSHIRE COUNCIL,South Lanarkshire Council,southlanarkshire.gov.uk
SOUTH NORFOLK DISTRICT COUNCIL,South Norfolk District Council,southnorfolk.gov.uk
SOUTH OXFORDSHIRE DISTRICT COUNCIL,South Derbyshire District Council,southderbyshire.gov.uk
SOUTH RIBBLE BOROUGH COUNCIL,South Ribble Borough Council,southribble.gov.uk
SOUTH SOMERSET DISTRICT COUNCIL,South Hams District Council,southhams.gov.uk
SOUTH TYNESIDE M B C,South Tyneside Mbc,
SOUTHAMPTON CITY COUNCIL,Southampton City Council,southampton.gov.uk
SOUTHEND-ON-SEA BOROUGH COUNCIL,Southend-On-Sea Borough Council,southend.gov.uk
SOUTHGATES MEDICAL AND SURGICAL CEN,Southgates Medical and Surgical Center,
SPACE ENGINEERING SERVICES LIMITED,Space Engineering Services Ltd.,
SPARCK TECHNOLOGIES B.V.,Sparck Technologies,sparck.com
SPHERA SOLUTIONS UK LIMITED,Aon Investments Ltd.,aon.com
SPRINGBOARD RESEARCH LIMITED,Springboard Research Ltd.,
"SPRINKLR, INC",Sprinklr Inc.,sprinklr.com
SPURDOWN LIMITED,Spurdown Ltd.,
SRL MANAGEMENT LIMITED,Right Management,rightmanagement.com
SRS THE DEVELOPMENT TEAM LIMITED,Srs the Development Team Ltd.,
